,SEGMENTS,BRANDS,REFRESHMENT BEVERAGES,CONFECTIONERY,COCOA PRODUCTS
0,Refreshment beverages,Cadbury bournvita,Bournvita,Tom tom,Cocoa powder
1,Confectionery,Cadbury 3 in 1,Hot chocolate,Buttermint,Cocoa butter
2,Intermediate cocoa products,Tom tom classic,-,-,Cocoa liquor
3,-,Tom tom strawberry,-,-,Cocoa cake
4,-,Buttermint,-,-,-
5,-,Cocoa powder,-,-,-
6,-,Cocoa butter,-,-,-
